idade,estado_civil,escolaridade,inadimplencia,saldo,fez_emprestimo,tempo_ult_contato,numero_contatos,aderencia_investimento
35,solteiro (a),medio,nao,0,nao,1073,1,sim
33,solteiro (a),superior,nao,3143,nao,421,2,sim
39,casado (a),superior,nao,691,sim,517,1,nao
32,solteiro (a),superior,nao,2185,nao,354,2,nao
42,divorciado (a),superior,nao,7190,nao,375,2,nao
57,casado (a),medio,nao,1469,nao,364,1,nao
33,solteiro (a),medio,nao,22,nao,76,2,nao
37,casado (a),medio,nao,1053,nao,405,3,nao
44,solteiro (a),superior,nao,900,nao,322,2,nao
45,solteiro (a),fundamental,nao,999,nao,182,2,nao
41,casado (a),superior,nao,-29,nao,41,2,nao
26,solteiro (a),fundamental,nao,3342,nao,329,4,nao
51,divorciado (a),medio,nao,1069,nao,247,2,nao
46,divorciado (a),medio,nao,7378,nao,466,1,nao
45,casado (a),medio,nao,128,sim,275,2,nao
46,solteiro (a),medio,nao,834,nao,196,2,nao
41,casado (a),fundamental,nao,8,nao,155,2,nao
29,solteiro (a),medio,nao,103,nao,314,1,nao
39,solteiro (a),medio,nao,7066,nao,667,3,sim
41,solteiro (a),medio,nao,231,nao,76,2,nao
59,casado (a),fundamental,nao,748,nao,184,1,nao
47,casado (a),medio,nao,405,sim,994,2,sim
34,casado (a),medio,nao,2374,nao,161,1,sim
34,casado (a),superior,nao,1657,nao,566,2,nao
51,divorciado (a),medio,nao,1679,nao,417,1,sim
30,casado (a),fundamental,nao,1317,nao,395,2,nao
42,solteiro (a),fundamental,nao,1322,sim,178,1,nao
46,casado (a),medio,nao,548,nao,1181,4,sim
36,solteiro (a),superior,nao,2944,nao,882,8,sim
43,casado (a),medio,nao,3285,nao,1721,2,sim
61,casado (a),medio,nao,4608,nao,212,1,sim
31,solteiro (a),medio,nao,2544,nao,252,1,sim
33,casado (a),superior,nao,263,nao,119,2,nao
55,divorciado (a),medio,nao,1613,nao,296,1,sim
30,solteiro (a),medio,sim,4,nao,84,3,nao
39,casado (a),fundamental,nao,1506,nao,299,2,nao
30,solteiro (a),superior,nao,302,nao,528,3,sim
49,casado (a),medio,nao,-454,nao,558,1,sim
32,solteiro (a),medio,nao,811,nao,563,1,sim
36,casado (a),superior,nao,1133,nao,293,1,sim
59,casado (a),medio,nao,5314,nao,200,3,nao
39,casado (a),medio,nao,260,nao,146,1,nao
34,solteiro (a),medio,nao,215,nao,350,3,sim
33,casado (a),superior,nao,150,nao,151,2,nao
42,divorciado (a),medio,nao,1811,nao,150,1,nao
52,solteiro (a),fundamental,nao,217,sim,193,6,nao
33,solteiro (a),superior,nao,1240,nao,505,2,nao
36,casado (a),superior,nao,1109,nao,328,2,nao
49,casado (a),superior,nao,523,nao,152,2,sim
40,casado (a),medio,nao,1012,nao,410,1,nao
45,divorciado (a),superior,nao,220,nao,89,4,nao
60,casado (a),medio,nao,89,nao,156,2,nao
36,solteiro (a),medio,nao,1482,nao,177,2,nao
38,solteiro (a),medio,nao,2543,nao,223,1,sim
53,casado (a),fundamental,nao,2581,nao,99,1,nao
34,solteiro (a),medio,nao,475,nao,538,8,nao
49,divorciado (a),fundamental,nao,198,nao,205,3,nao
43,casado (a),medio,nao,17555,nao,14,14,nao
46,solteiro (a),superior,nao,334,nao,36,6,nao
39,solteiro (a),superior,nao,0,nao,561,4,nao
45,solteiro (a),medio,nao,410,nao,891,4,sim
53,casado (a),medio,nao,25,nao,528,2,sim
41,casado (a),medio,nao,4900,nao,121,2,nao
44,casado (a),medio,nao,304,nao,129,2,nao
41,casado (a),superior,nao,171,nao,209,1,nao
27,solteiro (a),medio,nao,619,nao,16,5,nao
52,casado (a),superior,nao,-970,nao,489,1,sim
31,casado (a),superior,nao,2395,nao,218,1,nao
43,casado (a),medio,nao,132,nao,574,1,sim
25,solteiro (a),medio,nao,913,nao,113,4,nao
32,divorciado (a),superior,nao,267,nao,128,1,nao
56,divorciado (a),superior,nao,2959,nao,325,1,nao
30,casado (a),medio,nao,975,nao,256,2,nao
61,casado (a),superior,nao,997,nao,106,1,sim
29,casado (a),medio,nao,0,nao,83,6,nao
31,solteiro (a),superior,nao,1494,nao,275,12,nao
37,casado (a),superior,nao,1698,nao,95,2,nao
31,solteiro (a),fundamental,nao,26965,nao,654,2,sim
58,casado (a),fundamental,nao,781,nao,74,2,nao
59,divorciado (a),medio,nao,1026,nao,669,1,sim
30,solteiro (a),superior,nao,201,nao,325,2,sim
35,solteiro (a),medio,nao,0,nao,1174,1,sim
57,casado (a),medio,nao,158,nao,73,1,nao
33,solteiro (a),superior,nao,316,nao,126,3,nao
38,solteiro (a),medio,nao,2253,nao,937,3,sim
51,divorciado (a),medio,nao,2323,sim,151,10,nao
42,divorciado (a),medio,nao,2974,nao,187,5,nao
54,casado (a),fundamental,nao,541,nao,237,3,nao
28,solteiro (a),fundamental,nao,0,sim,380,4,nao
35,casado (a),medio,nao,13658,nao,220,2,nao
46,casado (a),medio,nao,451,sim,389,4,nao
26,solteiro (a),medio,nao,209,nao,319,2,nao
59,casado (a),fundamental,nao,0,nao,3025,2,nao
53,casado (a),fundamental,nao,104,sim,701,1,sim
47,solteiro (a),medio,nao,3696,nao,250,2,sim
50,divorciado (a),medio,nao,1111,nao,50,1,nao
36,solteiro (a),medio,nao,1855,nao,75,1,nao
52,casado (a),superior,nao,54,sim,103,1,nao
32,casado (a),superior,nao,3939,nao,209,2,nao
22,solteiro (a),medio,nao,2488,nao,449,2,sim
53,casado (a),fundamental,nao,4143,nao,200,3,nao
52,casado (a),medio,nao,196,sim,116,1,nao
41,casado (a),medio,nao,8238,sim,124,4,nao
40,casado (a),medio,nao,1100,nao,660,2,nao
34,casado (a),superior,nao,899,nao,377,3,nao
35,solteiro (a),superior,nao,2658,nao,768,2,sim
49,casado (a),fundamental,nao,365,nao,59,2,nao
34,solteiro (a),superior,nao,171,nao,191,1,nao
27,solteiro (a),medio,nao,-195,nao,391,1,sim
63,casado (a),medio,nao,3904,nao,250,2,sim
28,solteiro (a),superior,nao,1562,nao,659,4,sim
28,solteiro (a),superior,nao,0,nao,479,1,nao
32,solteiro (a),medio,nao,0,nao,181,2,nao
34,solteiro (a),superior,nao,-292,nao,181,6,nao
47,divorciado (a),medio,nao,225,nao,1126,4,sim
36,solteiro (a),superior,nao,442,sim,102,3,nao
56,divorciado (a),superior,nao,442,nao,77,3,nao
27,casado (a),medio,nao,897,nao,397,1,sim
42,solteiro (a),medio,nao,30,nao,98,1,nao
29,casado (a),medio,nao,228,nao,12,8,nao
29,casado (a),superior,nao,199,sim,1689,4,sim
46,casado (a),medio,nao,668,nao,1263,2,sim
45,divorciado (a),fundamental,nao,757,nao,103,1,nao
37,casado (a),superior,nao,489,nao,205,5,nao
46,casado (a),medio,nao,390,nao,208,2,nao
40,casado (a),medio,nao,61,nao,112,3,nao
44,divorciado (a),medio,nao,14,nao,167,1,sim
42,solteiro (a),fundamental,nao,1628,nao,119,1,nao
32,casado (a),medio,nao,2089,nao,132,1,sim
38,solteiro (a),medio,nao,-242,nao,1173,3,sim
71,casado (a),fundamental,nao,4657,nao,93,5,sim
34,casado (a),medio,nao,250,nao,193,6,nao
55,solteiro (a),fundamental,nao,1187,nao,193,2,nao
73,casado (a),fundamental,nao,796,nao,427,1,sim
33,solteiro (a),superior,nao,2155,nao,295,1,nao
41,solteiro (a),superior,nao,1646,nao,261,1,sim
51,casado (a),medio,nao,143,nao,627,1,nao
42,divorciado (a),medio,nao,1533,sim,86,1,nao
30,solteiro (a),medio,nao,178,nao,747,5,nao
50,casado (a),medio,nao,732,nao,736,7,nao
41,casado (a),medio,nao,552,nao,463,1,nao
32,casado (a),medio,nao,1148,nao,121,1,nao
38,casado (a),superior,nao,1988,nao,164,2,sim
25,solteiro (a),medio,nao,331,nao,170,4,sim
46,casado (a),superior,nao,273,nao,910,2,sim
77,casado (a),superior,nao,0,nao,847,1,sim
30,solteiro (a),superior,nao,2,sim,1031,8,sim
32,solteiro (a),medio,nao,6402,nao,158,1,nao
48,casado (a),medio,nao,817,nao,517,1,sim
53,solteiro (a),medio,nao,5715,nao,287,2,nao
36,casado (a),medio,nao,1409,nao,235,2,nao
33,divorciado (a),medio,nao,474,nao,400,2,nao
33,divorciado (a),medio,nao,0,nao,224,8,nao
58,casado (a),medio,nao,502,nao,197,2,nao
25,solteiro (a),medio,nao,8,nao,107,2,sim
49,casado (a),medio,nao,1568,nao,206,6,nao
43,casado (a),superior,nao,422,nao,110,1,nao
32,solteiro (a),superior,nao,311,nao,757,2,sim
80,casado (a),fundamental,nao,6483,nao,123,1,nao
55,casado (a),fundamental,nao,229,sim,175,3,nao
30,casado (a),superior,nao,0,nao,127,1,nao
53,casado (a),medio,nao,94,nao,493,1,sim
51,solteiro (a),superior,nao,297,nao,415,4,sim
37,casado (a),superior,nao,5106,nao,244,1,sim
28,solteiro (a),medio,nao,227,nao,278,1,sim
49,divorciado (a),superior,nao,755,nao,1212,4,sim
27,casado (a),medio,nao,2171,nao,130,1,nao
36,solteiro (a),medio,nao,0,nao,85,6,nao
35,solteiro (a),superior,nao,71,nao,836,12,nao
19,solteiro (a),medio,nao,302,nao,205,1,sim
36,casado (a),medio,nao,146,sim,284,2,nao
50,solteiro (a),superior,nao,1200,nao,904,3,sim
41,solteiro (a),medio,sim,-386,sim,477,1,sim
32,casado (a),fundamental,nao,795,nao,131,3,nao
39,casado (a),superior,nao,894,nao,491,1,nao
50,casado (a),fundamental,nao,395,nao,419,2,nao
36,casado (a),superior,nao,0,nao,60,1,nao
80,casado (a),fundamental,nao,0,nao,639,1,sim
52,casado (a),medio,nao,195,nao,220,1,sim
52,casado (a),medio,nao,-9,nao,123,1,nao
37,divorciado (a),superior,nao,168,nao,227,1,nao
47,casado (a),fundamental,nao,2642,nao,310,2,nao
39,casado (a),medio,nao,285,sim,209,1,nao
31,casado (a),superior,nao,636,nao,352,4,sim
41,divorciado (a),medio,nao,174,nao,367,2,nao
23,solteiro (a),fundamental,nao,8627,nao,169,1,nao
46,casado (a),medio,nao,22,nao,388,6,sim
28,solteiro (a),medio,nao,171,nao,93,1,sim
36,solteiro (a),superior,nao,1531,nao,81,3,nao
58,casado (a),medio,nao,14412,nao,297,1,nao
52,casado (a),medio,nao,108,nao,543,12,nao
41,casado (a),fundamental,nao,39,nao,549,2,sim
27,casado (a),superior,nao,802,nao,569,1,sim
46,casado (a),medio,nao,368,nao,293,1,sim
44,casado (a),medio,nao,205,nao,289,1,sim
41,casado (a),medio,sim,720,sim,651,1,sim
23,solteiro (a),fundamental,nao,8627,nao,281,1,nao
28,solteiro (a),superior,nao,4579,nao,409,2,sim
34,solteiro (a),superior,nao,586,nao,489,2,nao
47,casado (a),medio,nao,1121,nao,454,6,nao
44,solteiro (a),medio,nao,244,nao,1735,4,sim
50,casado (a),superior,nao,52,nao,22,8,nao
38,casado (a),medio,nao,3732,nao,379,2,nao
31,casado (a),medio,nao,24,nao,631,1,nao
40,solteiro (a),medio,nao,-1,nao,173,1,nao
40,casado (a),medio,nao,93,nao,134,2,nao
48,solteiro (a),superior,nao,-551,nao,168,2,nao
39,divorciado (a),medio,nao,1022,nao,20,3,nao
34,solteiro (a),medio,nao,943,nao,96,4,nao
41,casado (a),fundamental,nao,204,nao,111,7,nao
57,casado (a),superior,nao,0,sim,648,1,sim
55,casado (a),superior,nao,979,sim,123,1,nao
43,casado (a),superior,nao,1429,nao,1015,1,sim
59,casado (a),medio,nao,9976,nao,57,2,nao
40,divorciado (a),superior,nao,502,nao,267,4,nao
30,casado (a),superior,nao,1942,sim,436,2,sim
28,casado (a),medio,nao,655,nao,606,2,nao
36,casado (a),medio,nao,80,nao,251,3,nao
41,casado (a),superior,nao,72,nao,764,3,nao
27,solteiro (a),superior,nao,1,nao,65,2,nao
33,solteiro (a),superior,nao,23,nao,216,3,nao
37,solteiro (a),medio,nao,-242,nao,1149,6,sim
47,divorciado (a),superior,nao,2515,nao,40,3,nao
44,casado (a),superior,nao,22,nao,265,2,nao
31,casado (a),medio,nao,-230,sim,715,1,nao
36,casado (a),superior,nao,495,nao,157,3,sim
58,casado (a),fundamental,nao,1013,nao,206,1,sim
54,divorciado (a),superior,nao,0,nao,618,1,sim
28,solteiro (a),medio,nao,459,nao,83,13,nao
32,casado (a),medio,nao,38,nao,744,1,sim
34,casado (a),medio,nao,103,sim,956,2,nao
31,solteiro (a),medio,nao,775,nao,361,1,nao
31,solteiro (a),medio,nao,203,sim,177,1,nao
44,casado (a),medio,nao,2776,nao,701,1,sim
34,solteiro (a),medio,nao,1386,sim,185,6,nao
24,solteiro (a),medio,nao,822,nao,184,1,sim
55,casado (a),superior,nao,-375,nao,814,2,sim
33,casado (a),medio,nao,-163,sim,502,2,nao
53,divorciado (a),medio,nao,765,nao,959,3,sim
35,casado (a),superior,nao,7050,nao,222,3,sim
34,casado (a),superior,nao,197,nao,78,3,sim
37,casado (a),medio,nao,430,nao,154,4,nao
31,solteiro (a),fundamental,nao,406,nao,736,1,sim
58,casado (a),fundamental,nao,435,nao,122,6,nao
37,solteiro (a),fundamental,nao,851,nao,151,1,nao
32,solteiro (a),medio,nao,2881,nao,356,1,sim
28,solteiro (a),medio,nao,389,nao,15,7,nao
59,divorciado (a),medio,nao,5845,nao,1060,2,sim
33,casado (a),medio,nao,386,nao,253,1,sim
34,casado (a),medio,nao,5320,nao,114,6,nao
34,casado (a),superior,nao,180,nao,298,3,nao
25,solteiro (a),medio,nao,1790,nao,224,1,nao
30,casado (a),superior,nao,944,nao,251,2,sim
35,divorciado (a),superior,nao,321,nao,189,1,nao
39,casado (a),medio,nao,1045,sim,290,13,nao
46,casado (a),medio,nao,70,nao,229,2,sim
52,casado (a),medio,nao,657,nao,398,2,sim
45,divorciado (a),fundamental,nao,844,nao,1018,3,sim
58,casado (a),medio,nao,111,nao,58,2,nao
26,divorciado (a),superior,sim,-402,sim,127,2,nao
32,solteiro (a),superior,nao,1831,nao,86,2,nao
55,divorciado (a),fundamental,nao,976,nao,345,1,sim
31,solteiro (a),medio,sim,25,nao,381,1,nao
31,solteiro (a),medio,nao,4888,nao,475,4,nao
45,casado (a),medio,nao,315,nao,103,1,nao
37,casado (a),medio,nao,4153,nao,35,16,nao
83,casado (a),medio,nao,0,nao,140,10,nao
51,casado (a),medio,nao,1840,nao,312,3,nao
52,casado (a),medio,nao,1117,nao,365,1,nao
32,solteiro (a),superior,nao,0,nao,550,4,sim
33,solteiro (a),superior,nao,61,nao,836,3,sim
29,solteiro (a),superior,nao,828,nao,215,3,nao
30,solteiro (a),medio,nao,102,nao,614,2,nao
35,solteiro (a),superior,nao,633,nao,128,3,nao
56,casado (a),medio,nao,-1206,nao,382,2,sim
30,casado (a),fundamental,nao,1787,nao,79,1,nao
34,solteiro (a),superior,nao,462,nao,1877,3,sim
26,solteiro (a),medio,nao,-32,sim,14,6,nao
43,solteiro (a),medio,nao,3403,nao,707,2,sim
45,casado (a),medio,nao,295,nao,92,1,nao
41,casado (a),medio,nao,-217,nao,313,1,nao
22,solteiro (a),medio,nao,333,sim,129,1,nao
